ShapeLineId,ShapeTemplateId,DesignName,StartX,StartY,EndX,EndY,Description,LineType
454,4,A,G + L + W,CG + W + D - (CG + W - (W * LOCK_PERCENTAGE %)) + BMG,G + L + W,CG + W + D - (CG + W - (W * LOCK_PERCENTAGE %)) + BMG + BM,,Registration
455,4,A,G + L + W + L,CG + W + D - (CG + W - (W * LOCK_PERCENTAGE %)) + BMG,G + L + W + L,CG + W + D - (CG + W - (W * LOCK_PERCENTAGE %)) + BMG + BM,,Registration
456,4,A,G+L+W+L+W-CTBK,CG + W + D - (CG + W - (W * LOCK_PERCENTAGE %)) + BMG,G+L+W+L+W-CTBK,CG + W + D - (CG + W - (W * LOCK_PERCENTAGE %)) + BMG + BM,,Registration
457,4,A,G-BMG,CG + W + 0 - (CG + W - (W * LOCK_PERCENTAGE %)),G-BMG-BM,CG + W + 0 - (CG + W - (W * LOCK_PERCENTAGE %)),,Registration
458,4,A,G+L+W+L+W-CTBK+BMG,CG + W + 0 - (CG + W - (W * LOCK_PERCENTAGE %)),G+L+W+L+W-CTBK+BMG + BM,CG + W + 0 - (CG + W - (W * LOCK_PERCENTAGE %)),,Registration
459,4,A,G-BMG,CG + W + D + X4 - (CG + W - (W * LOCK_PERCENTAGE %)),G-BMG-BM,CG + W + D + X4 - (CG + W - (W * LOCK_PERCENTAGE %)),,Registration
460,4,A,G+L+W+L+W-CTBK+BMG,CG + W + D + X4 - (CG + W - (W * LOCK_PERCENTAGE %)),G+L+W+L+W-CTBK+BMG + BM,CG + W + D + X4 - (CG + W - (W * LOCK_PERCENTAGE %)),,Registration
461,4,A,G - BMG,CG + W + D + W - R5 - (CG + W - (W * LOCK_PERCENTAGE %)),G-BMG-BM,CG + W + D + W - R5 - (CG + W - (W * LOCK_PERCENTAGE %)),,Registration
462,4,A,G + L + BMG,CG + W + D + W - R5 - (CG + W - (W * LOCK_PERCENTAGE %)),G + L + BMG + BM,CG + W + D + W - R5 - (CG + W - (W * LOCK_PERCENTAGE %)),,Registration
463,4,B,0,CG + W + D + BMG,0,CG + W + D + BMG + BM,,Registration
464,4,B,G,CG + W + D + BMG,G,CG + W + D + BMG + BM,,Registration
465,4,B,G + L,CG + W + D + BMG,G + L,CG + W + D + BMG + BM,,Registration
466,4,B,G + L + W,CG + W + D + BMG,G + L + W,CG + W + D + BMG + BM,,Registration
467,4,B,G + L + W + L,CG + W + D + BMG,G + L + W + L,CG + W + D + BMG + BM,,Registration
468,4,B,G+L+W+L+W-CTBK,CG + W + D + BMG,G+ L+W+L+W-CTBK,CG + W + D + BMG + BM,,Registration
469,4,B,0,CG + W + 0 - BMG,0,CG + W + 0 - BMG - BM,,Registration
470,4,B,G,CG + W + 0 - BMG,G,CG + W + 0 - BMG - BM,,Registration
471,4,B,G + L,CG + W + 0 - BMG,G + L,CG + W + 0 - BMG - BM,,Registration
472,4,B,G+L+W+L+W-CTBK,CG + W + 0 - BMG,G+L+W+L+W-CTBK,CG + W + 0 - BMG - BM,,Registration
473,4,B,G-BMG,CG + W + D + X4,G-BMG-BM,CG + W + D + X4,,Registration
